# time,pos_x,pos_y,vel_x,vel_y,mre_x,mre_y,gol_x,gol_y,atr_x,atr_y,fin_x,fin_y,tile
2.620000,0.306708,-0.076878,-0.076388,-0.300885,-0.000000,0.000000,1.377839,-3.016261,0.000000,0.000000,-0.032885,-0.184407,11.356937
2.640000,0.305452,-0.083536,-0.049141,-0.365124,-0.000000,-0.000000,1.420478,-3.040895,0.000000,0.000000,-0.034676,-0.221490,11.340848
2.660000,0.304753,-0.091483,-0.020787,-0.429611,-0.000000,0.000000,1.469339,-3.074167,0.000000,0.000000,-0.072797,-0.177891,11.408639
2.680000,0.304630,-0.100732,0.008964,-0.495635,0.000000,0.000000,1.524928,-3.116390,0.000000,0.000000,-0.014663,-0.197413,11.427408
2.700000,0.305113,-0.111302,0.039885,-0.561774,0.000000,0.000000,1.588234,-3.167836,0.000000,0.000000,0.035399,-0.230501,11.426793
2.720000,0.306233,-0.123209,0.071977,-0.628145,0.000000,0.000000,1.660418,-3.228749,0.000000,0.000000,-0.018257,-0.005832,11.528770
2.740000,0.308013,-0.136445,0.106405,-0.696195,0.000000,0.000000,1.742551,-3.299561,0.000000,0.000000,-0.013077,-0.120567,11.543750
2.760000,0.310489,-0.151030,0.141782,-0.762751,0.000000,-0.000000,1.835983,-3.380736,0.000000,0.000000,0.038079,-0.116421,11.570238
2.780000,0.313698,-0.166973,0.179122,-0.830217,-0.000000,0.000000,1.942547,-3.472528,0.000000,0.000000,-0.026450,0.263152,11.687941
2.800000,0.317675,-0.184255,0.218697,-0.898652,-0.000000,0.000000,2.064483,-3.575054,0.000000,0.000000,-0.088394,0.227653,11.723089
2.820000,0.322454,-0.202883,0.259781,-0.964554,0.000000,-0.000000,2.204241,-3.688565,0.000000,0.000000,-0.085171,0.287903,11.781473
2.840000,0.328081,-0.222849,0.303026,-1.031250,-0.000000,0.000000,2.365094,-3.812765,0.000000,0.000000,-0.189719,0.571639,11.891515
2.860000,0.334589,-0.244129,0.348527,-1.097343,-0.000000,-0.000000,2.551346,-3.946516,0.000000,0.000000,-0.215653,0.599419,11.935305
2.880000,0.342028,-0.266702,0.395997,-1.159746,0.000000,0.000000,2.768340,-4.088369,0.000000,0.000000,-0.276427,0.809804,12.016809
2.900000,0.350443,-0.290537,0.445795,-1.221679,-0.000000,0.000000,3.023348,-4.234772,0.000000,0.000000,-0.433608,1.327042,12.155649
2.920000,0.359883,-0.315583,0.498724,-1.282124,0.000000,0.000000,3.326312,-4.378854,0.000000,0.000000,-0.561623,1.624069,12.239707
2.940000,0.370413,-0.341784,0.554479,-1.338277,-0.000000,0.000000,3.692110,-4.508538,0.000000,0.000000,-0.770991,1.807956,12.322577
2.960000,0.382272,-0.367982,0.635278,-1.262441,0.000000,0.000000,4.114407,-4.613914,1.156839,7.985695,-0.890817,1.544205,12.287540
2.980000,0.395900,-0.392258,0.728864,-1.166332,0.000000,-0.000000,4.550668,-4.710037,1.185428,8.151457,-0.931363,1.253415,12.225865
3.000000,0.411474,-0.414638,0.830224,-1.072055,-0.000000,-0.000000,4.990721,-4.813406,1.203839,8.371225,-0.921513,1.096597,12.181932
3.020000,0.429157,-0.435144,0.938731,-0.978175,-0.000000,0.000000,5.413665,-4.958293,1.207670,8.647110,-1.056173,1.031498,12.183587
3.040000,0.449070,-0.453773,1.052207,-0.884150,-0.000000,-0.000000,5.757822,-5.228342,1.191600,8.982551,-1.347383,1.076036,12.232590
3.060000,0.471264,-0.470527,1.165803,-0.792093,0.000000,-0.000000,5.753400,-5.901854,1.149255,9.381504,-1.696823,1.070397,12.293180
3.080000,0.495559,-0.485567,1.254170,-0.718607,-0.000000,0.000000,2.578499,-8.276905,1.073870,9.843752,-1.828796,1.001607,12.328968
3.100000,0.519974,-0.499169,1.148558,-0.607993,0.000000,-0.000000,-8.597109,-0.332987,0.977982,10.358583,-1.097339,0.564516,12.106687
3.120000,0.541281,-0.508992,0.987237,-0.367538,-0.000000,-0.000000,-8.034323,1.756551,0.905218,10.979630,-0.295145,0.107012,11.803712
3.140000,0.559580,-0.513724,0.845251,-0.103325,-0.000000,-0.000000,-7.703060,1.775893,0.862152,11.767939,0.075964,-0.010204,11.610668
3.160000,0.575146,-0.513046,0.712276,0.172942,0.000000,-0.000000,-7.544213,1.310099,0.851855,12.777000,0.188565,0.041195,11.524499
3.180000,0.588096,-0.506719,0.582939,0.461659,0.000000,0.000000,-7.442321,0.567433,0.883311,14.078052,0.110959,0.087832,11.540122
3.200000,0.598473,-0.494491,0.455124,0.762774,0.000000,-0.000000,-7.291683,-0.408237,0.974756,15.773708,-0.069196,-0.063385,11.663752
3.220000,0.606324,-0.476122,0.331331,1.075888,0.000000,-0.000000,-6.970722,-1.565809,1.159300,18.014323,-0.247186,-0.556835,11.901812
3.240000,0.611792,-0.451375,0.218620,1.401006,-0.000000,0.000000,-6.373645,-2.772703,1.494912,21.024414,-0.366283,-1.714213,12.263876
3.260000,0.615210,-0.419990,0.128433,1.740766,0.000000,0.000000,-5.489942,-3.813104,2.082716,25.144068,-0.395061,-3.839209,12.772736
3.280000,0.617160,-0.381596,0.073748,2.103564,0.000000,-0.000000,-4.444879,-4.492500,3.103100,30.904946,-0.358277,-7.473333,13.457661
3.300000,0.618476,-0.335661,0.061089,2.449511,0.000000,0.000000,-3.421949,-4.746865,0.000000,0.000000,-0.347921,-12.532015,14.241838
3.320000,0.619039,-0.289788,-0.001306,2.152971,-0.000000,-0.000000,-2.652391,-4.683992,0.000000,0.000000,0.027925,-7.979973,13.551128
3.340000,0.618541,-0.249073,-0.046359,1.928021,0.000000,-0.000000,-2.128367,-4.505343,0.000000,0.000000,0.180833,-5.418630,13.094380
3.360000,0.617256,-0.212374,-0.080780,1.748441,-0.000000,-0.000000,-1.751573,-4.296527,0.000000,0.000000,0.223914,-3.838838,12.775306
3.380000,0.615360,-0.178933,-0.108041,1.600253,0.000000,-0.000000,-1.468699,-4.087591,0.000000,0.000000,0.254830,-2.691064,12.527896
3.400000,0.612969,-0.148219,-0.130457,1.474543,-0.000000,0.000000,-1.249026,-3.889404,0.000000,0.000000,0.248095,-1.998320,12.342814
3.420000,0.610164,-0.119839,-0.149408,1.365700,-0.000000,0.000000,-1.073830,-3.705576,0.000000,0.000000,0.195910,-1.393521,12.180990
3.440000,0.607007,-0.093497,-0.165927,1.270278,-0.000000,0.000000,-0.931027,-3.536759,0.000000,0.000000,0.138137,-0.903506,12.045444
3.460000,0.603539,-0.068959,-0.180621,1.185106,0.000000,0.000000,-0.812484,-3.382396,0.000000,0.000000,0.114383,-0.651046,11.949482
3.480000,0.599793,-0.046042,-0.193752,1.107957,-0.000000,0.000000,-0.712576,-3.241473,0.000000,0.000000,0.085952,-0.473229,11.869910
3.500000,0.595795,-0.024597,-0.205894,1.037523,-0.000000,-0.000000,-0.627256,-3.112858,0.000000,0.000000,0.038576,-0.247807,11.793313
3.520000,0.591562,-0.004499,-0.217284,0.973068,0.000000,-0.000000,-0.553509,-2.995402,0.000000,0.000000,0.009306,-0.076792,11.723550
3.540000,0.587110,0.014360,-0.227817,0.913605,-0.000000,-0.000000,-0.489100,-2.888020,0.000000,0.000000,-0.016776,0.016240,11.674934
3.560000,0.582454,0.032070,-0.237678,0.858097,0.000000,0.000000,-0.432314,-2.789727,0.000000,0.000000,-0.040958,0.095440,11.631443
3.580000,0.577609,0.048708,-0.246684,0.806169,-0.000000,-0.000000,-0.381834,-2.699651,0.000000,0.000000,-0.044014,0.187106,11.585392
3.600000,0.572591,0.064335,-0.254952,0.756933,-0.000000,0.000000,-0.336632,-2.617025,0.000000,0.000000,-0.074956,0.233664,11.539735
3.620000,0.567414,0.079001,-0.262706,0.710022,-0.000000,-0.000000,-0.295880,-2.541216,0.000000,0.000000,-0.072084,0.212764,11.525497
