t	u	v	z						
2.15E-02	0.07003828	1.40E-01	-2.55E-01						
2.16E-02	0.069172962	2.15E-01	-3.52E-01						
2.17E-02	0.068341397	2.60E-01	-3.38E-01						
2.18E-02	0.067890107	2.47E-01	-2.45E-01						
2.19E-02	0.068252939	1.72E-01	-1.41E-01						
2.20E-02	0.069448695	5.65E-02	-9.10E-02						
2.21E-02	0.070989172	-5.47E-02	-1.18E-01						
2.22E-02	0.072250472	-1.15E-01	-1.92E-01						
2.23E-02	0.072761443	-9.80E-02	-2.63E-01						
2.24E-02	0.072335747	-2.90E-02	-2.89E-01						
2.25E-02	0.07104103	4.21E-02	-2.66E-01						
2.26E-02	0.069206588	7.22E-02	-2.08E-01						
2.27E-02	0.067604306	6.43E-02	-1.47E-01						
2.28E-02	0.067190739	4.31E-02	-1.08E-01						
2.29E-02	0.06834208	2.76E-02	-1.03E-01						
2.30E-02	0.070411276	2.73E-02	-1.29E-01						
2.31E-02	0.072194635	2.52E-02	-1.73E-01						
2.32E-02	0.072892776	5.81E-03	-2.06E-01						
2.33E-02	0.072773219	-3.78E-02	-2.02E-01						
2.34E-02	0.072548842	-9.29E-02	-1.68E-01						
2.35E-02	0.072482415	-1.33E-01	-1.62E-01						
2.36E-02	0.072403325	-1.32E-01	-2.46E-01						
2.37E-02	0.072235324	-8.02E-02	-3.98E-01						
2.38E-02	0.072103737	1.30E-02	-5.07E-01						
2.39E-02	0.072024407	1.29E-01	-4.65E-01						
2.40E-02	0.071811466	2.39E-01	-2.36E-01						
2.41E-02	0.071314272	3.10E-01	1.25E-01						
2.42E-02	0.070676704	3.18E-01	4.95E-01						
2.43E-02	0.070129935	2.56E-01	7.27E-01						
2.44E-02	0.069730245	1.66E-01	6.94E-01						
2.45E-02	0.069319105	1.00E-01	3.92E-01						
2.46E-02	0.068825859	8.57E-02	-3.27E-02						
2.47E-02	0.068481241	1.10E-01	-3.60E-01						
2.48E-02	0.068657767	1.43E-01	-4.62E-01						
2.49E-02	0.069468231	1.57E-01	-3.87E-01						
2.50E-02	0.070686221	1.44E-01	-2.45E-01						
2.51E-02	0.071976289	1.18E-01	-9.50E-02						
2.52E-02	0.072954133	8.06E-02	5.49E-02						
2.53E-02	0.073272921	3.07E-02	2.01E-01						
2.54E-02	0.072858567	-2.71E-02	3.06E-01						
2.55E-02	0.071909902	-7.81E-02	2.97E-01						
2.56E-02	0.070885077	-1.01E-01	1.37E-01						
2.57E-02	0.070130247	-9.26E-02	-1.05E-01						
2.58E-02	0.069644512	-6.52E-02	-2.64E-01						
2.59E-02	0.069110221	-3.16E-02	-2.05E-01						
2.60E-02	0.06832182	2.19E-03	3.54E-02						
2.61E-02	0.067540758	3.35E-02	2.87E-01						
2.62E-02	0.067282212	5.86E-02	3.84E-01						
2.63E-02	0.067746056	6.95E-02	2.70E-01						
2.64E-02	0.068644828	6.78E-02	-1.22E-02						
2.65E-02	0.069656682	8.00E-02	-3.50E-01						
2.66E-02	0.070715595	1.22E-01	-6.04E-01						
2.67E-02	0.071884716	1.68E-01	-7.19E-01						
2.68E-02	0.072931771	1.82E-01	-7.57E-01						
2.69E-02	0.073376166	1.44E-01	-7.71E-01						
2.70E-02	0.073083147	6.61E-02	-7.62E-01						
2.71E-02	0.07251365	-2.48E-02	-7.02E-01						
2.72E-02	0.07225715	-1.01E-01	-5.50E-01						
2.73E-02	0.072472903	-1.50E-01	-2.73E-01						
2.74E-02	0.072807886	-1.71E-01	1.01E-01						
2.75E-02	0.072861695	-1.73E-01	4.11E-01						
