t	u	v	z						
4.10E-02	0.066304108	-5.61E-02	1.99E-01						
4.11E-02	0.065320993	-2.81E-02	2.01E-01						
4.12E-02	0.064263623	-4.15E-02	2.04E-01						
4.13E-02	0.063527187	-7.79E-02	1.79E-01						
4.14E-02	0.063331099	-1.01E-01	1.11E-01						
4.15E-02	0.063716626	-7.98E-02	1.94E-02						
4.16E-02	0.064643566	-2.24E-03	-5.71E-02						
4.17E-02	0.065995139	1.17E-01	-7.60E-02						
4.18E-02	0.067518269	2.39E-01	-2.23E-02						
4.19E-02	0.068850798	3.21E-01	7.17E-02						
4.20E-02	0.069689172	3.26E-01	1.39E-01						
4.21E-02	0.069921076	2.47E-01	1.24E-01						
4.22E-02	0.069568878	1.11E-01	4.04E-02						
4.23E-02	0.068732425	-4.59E-02	-4.47E-02						
4.24E-02	0.067663875	-1.88E-01	-8.27E-02						
4.25E-02	0.066716476	-2.91E-01	-9.45E-02						
4.26E-02	0.066189334	-3.35E-01	-1.01E-01						
4.27E-02	0.066134034	-3.22E-01	-6.62E-02						
4.28E-02	0.066420824	-2.82E-01	4.31E-02						
4.29E-02	0.066908479	-2.42E-01	2.03E-01						
4.30E-02	0.067521572	-2.23E-01	3.62E-01						
4.31E-02	0.068065815	-2.25E-01	4.50E-01						
4.32E-02	0.068240666	-2.28E-01	3.70E-01						
4.33E-02	0.067795695	-2.10E-01	1.10E-01						
4.34E-02	0.066796966	-1.66E-01	-2.18E-01						
4.35E-02	0.065668769	-1.15E-01	-4.75E-01						
4.36E-02	0.064846909	-6.81E-02	-5.71E-01						
4.37E-02	0.064489039	-2.61E-02	-4.71E-01						
4.38E-02	0.064493981	1.23E-02	-2.07E-01						
4.39E-02	0.064757765	3.70E-02	1.30E-01						
4.40E-02	0.065303938	3.32E-02	4.07E-01						
4.41E-02	0.066138279	-7.41E-03	4.81E-01						
4.42E-02	0.067079672	-6.77E-02	3.20E-01						
4.43E-02	0.067838751	-1.12E-01	3.60E-02						
4.44E-02	0.068283852	-1.01E-01	-2.01E-01						
