[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0.060899999	0.069354168
0.061000001	0.068196185
0.061099999	0.06787628
0.0612	0.068289384
0.061299998	0.069152601
0.0614	0.070121907
0.061500002	0.071017102
0.0616	0.071698419
0.061700001	0.071967725
0.061799999	0.071683963
0.061900001	0.070979826
0.061999999	0.070265165
0.062100001	0.069909695
0.062199999	0.069969006
0.0623	0.070237097
0.062399998	0.070493657
0.0625	0.07066477
0.062600002	0.070793245
0.062700003	0.070829787
0.062799998	0.070578433
0.062899999	0.069924894
0.063000001	0.069021998
0.063100003	0.068160329
0.063199997	0.067559365
0.063299999	0.067305291
0.0634	0.067379294
0.063500002	0.067734279
0.063600004	0.068359573
0.063699998	0.069233549
0.0638	0.070239319
0.063900001	0.071116729
0.064000003	0.071582621
0.064099997	0.071554966
0.064199999	0.071325358
0.064300001	0.071335133
0.064400002	0.071789178
0.064499997	0.072443488
0.064599998	0.072761065
0.0647	0.072295449
0.064800002	0.071068321
0.064900003	0.069575112
0.064999998	0.068466902
0.065099999	0.068136143
0.065200001	0.068595409
0.065300003	0.069656228
0.065399997	0.071003993
0.065499999	0.072269953
0.0656	0.073096791
0.065700002	0.073260873
0.065800004	0.072779908
0.065899998	0.071912224
0.066	0.071025983
0.066100001	0.070429397
0.066200003	0.070242413
0.066299997	0.070431107
0.066399999	0.070896306
0.066500001	0.071513376
0.066600002	0.072127362
0.066699997	0.072607384
0.066799998	0.072750256
0.0669	0.072403908
0.067000002	0.071661029
0.067100003	0.070856857
0.067199998	0.070295909
0.067299999	0.07003743
0.067400001	0.069832747
0.067500003	0.069502515
0.067599997	0.069177394
0.067699999	0.069183213
0.0678	0.069651683
0.067900002	0.070305898
0.068000004	0.070635445
0.068099998	0.070512159
0.0682	0.070363327
0.068300001	0.070713767
0.068400003	0.071634503
0.068499997	0.07262815
0.068599999	0.073006
0.068700001	0.072483812
0.068800002	0.071401806
0.068899997	0.070350876
0.068999998	0.06964819
0.0691	0.06936426
0.069200002	0.069471938
0.069300003	0.069949647
0.069399998	0.07066389
0.069499999	0.071259691
0.069600001	0.071268654
0.069700003	0.070562159
0.069799997	0.069476306
0.069899999	0.06844234
0.07	0.067693157
0.070100002	0.067328515
0.070200004	0.067541716
0.070299998	0.068490784
0.0704	0.070046298
0.070500001	0.071785295
0.070600003	0.073183373
0.070699997	0.074118152
0.070799999	0.074744113
0.070900001	0.075159589
0.071000002	0.075337905
0.071099997	0.075269027
0.071199998	0.075000932
0.0713	0.074560199
0.071400002	0.073879817
0.071500003	0.073031188
0.071599998	0.072301006
0.071699999	0.071976688
0.071800001	0.071955188
0.071900003	0.071667547
0.071999997	0.070684002
0.072099999	0.06926124
0.0722	0.068182945
0.072300002	0.068034602
0.072400004	0.068695226
0.072499998	0.069500823
0.0726	0.06978952
0.072700001	0.069448746
0.072800003	0.068819646
0.072899997	0.068479412
0.072999999	0.06887459
0.073100001	0.070141716
0.073200002	0.071990019
0.073299997	0.073756327
0.073399998	0.074773174
0.0735	0.074768919
0.073600002	0.074024825
0.073700003	0.072966329
0.073799998	0.071807376
0.073899999	0.070603286
0.074000001	0.06952699
0.074100003	0.068914433
0.074199997	0.068961162
0.074299999	0.069496527
0.0744	0.070170151
0.074500002	0.070785879
0.074600004	0.071396658
0.074699998	0.071969172
0.0748	0.0722496
0.074900001	0.072026379
0.075000003	0.071427593
0.075099997	0.070838033
0.075199999	0.070500098
0.075300001	0.07024303
0.075400002	0.069800179
0.075499997	0.069171007
0.075599998	0.068731527
0.0757	0.069021653
0.075800002	0.070260693
0.075900003	0.072172943
0.075999998	0.073899485
0.076099999	0.074423569
0.076200001	0.073330708
0.076300003	0.071141209
0.076399997	0.068943527
0.076499999	0.06770515
0.0766	0.067702696
0.076700002	0.06844557
0.076800004	0.069189405
0.076899998	0.069583032
0.077	0.069769907
0.077100001	0.070042189
0.077200003	0.070508916
0.077299997	0.071087427
0.077399999	0.071705545
0.077500001	0.072273491
0.077600002	0.072558832
0.077699997	0.072285774
0.077799998	0.071527469
0.0779	0.070707058
0.078000002	0.070250237
0.078100003	0.070242776
0.078199998	0.070455605
0.078299999	0.070778417
0.078400001	0.071296051
0.078500003	0.071993811
0.078599997	0.072620248
0.078699999	0.072888302
0.0788	0.072888665
0.078900002	0.072956477
0.079000004	0.07311513
0.079099998	0.072963721
0.0792	0.072206332
0.079300001	0.071193068
0.079400003	0.070690443
0.079499997	0.0710675
0.079599999	0.0719363
0.079700001	0.072697136
0.079800002	0.073114517
0.079899997	0.07328808
0.079999998	0.073236016
0.0801	0.072720229
0.080200002	0.071662934
0.080300003	0.070365255
0.080399998	0.069359393
0.080499999	0.068962959
0.080600001	0.069046828
0.080700003	0.069353056
0.080799997	0.069778765
0.080899999	0.070308664
0.081	0.070863389
0.081100002	0.071422032
0.081200004	0.072087387
0.081299998	0.072935694
0.0814	0.073789802
0.081500001	0.074236204
0.081600003	0.073910924
0.081699997	0.072864861
0.081799999	0.071501946
0.081900001	0.070208679
0.082000002	0.069174378
0.082099997	0.068512742
0.082199998	0.068411437
0.0823	0.069009012
0.082400002	0.070058872
0.082500003	0.070960806
0.082599998	0.071265271
0.082699999	0.071052101
0.082800001	0.070709889
0.082900003	0.07051289
0.082999997	0.070389676
0.083099999	0.070187873
0.0832	0.069956129
0.083300002	0.06987582
0.083400004	0.069973252
0.083499998	0.070068198
0.0836	0.070023573
0.083700001	0.069933703
0.083800003	0.069991659
0.083899997	0.070248001
0.083999999	0.070554239
0.084100001	0.07076916
0.084200002	0.070865348
0.084299997	0.070799636
0.084399998	0.070533546
0.0845	0.070115843
0.084600002	0.069767489
0.084700003	0.069693753
0.084799998	0.069775486
0.084899999	0.069573234
0.085000001	0.068872023
0.085100003	0.068091691
0.085199997	0.067999603
0.085299999	0.068969164
0.0854	0.070624219
0.085500002	0.072229515
0.085600004	0.073235245
0.085699998	0.073511047
0.0858	0.073203603
0.085900001	0.07245886
0.086000003	0.071358116
0.086099997	0.070046607
0.086199999	0.068677727
0.086300001	0.067364929
0.086400002	0.066303248
0.086499997	0.065781546
0.086599998	0.06606113
0.0867	0.06712634
0.086800002	0.068627891
0.086900003	0.07018771
0.086999998	0.071589389
0.087099999	0.072711792
0.087200001	0.073461352
0.087300003	0.073772184
0.087399997	0.073651325
0.087499999	0.07320168
0.0876	0.072559476
0.087700002	0.071839762
0.087800004	0.071129211
0.087899998	0.070608225
0.088	0.070420121
0.088100001	0.070525862
0.088200003	0.070692562
0.088299997	0.070686198
0.088399999	0.070482957
0.088500001	0.070272382
0.088600002	0.070179754
0.088699997	0.070148746
0.088799998	0.070113185
0.0889	0.070187238
0.089000002	0.070580121
0.089100003	0.071320699
0.089199998	0.07208745
0.089299999	0.072443429
0.089400001	0.072313294
0.089500003	0.071952693
0.089599997	0.071533951
0.089699999	0.07087129
0.0898	0.069665798
0.089900002	0.068121528
0.090000004	0.066934942
0.090099998	0.066717246
0.0902	0.067383535
0.090300001	0.068383387
0.090400003	0.069204795
0.090499997	0.069671487
0.090599999	0.06990432
0.090700001	0.07006094
0.090800002	0.070123082
0.090899997	0.069990434
0.090999998	0.069655003
0.0911	0.069241972
0.091200002	0.069005986
0.091300003	0.069287031
0.091399998	0.07023218
0.091499999	0.071506168
0.091600001	0.072376243
0.091700003	0.072283982
0.091799997	0.071436764
0.091899999	0.070606406
0.092	0.07043421
0.092100002	0.070883746
0.092200004	0.071477955
0.092299998	0.071901714
0.0924	0.072275546
0.092500001	0.072727078
0.092600003	0.073054276
0.092699997	0.07286663
0.092799999	0.072066694
0.092900001	0.071068135
0.093000002	0.070479233
0.093099996	0.070612743
0.093199998	0.071210309
0.0933	0.071677331
0.093400002	0.071732102
0.093500003	0.071561039
0.093599998	0.071476644
0.093699999	0.071660594
0.093800001	0.072076637
0.093900003	0.072526627
0.093999997	0.072798165
0.094099999	0.072842326
0.0942	0.072809418
0.094300002	0.07289898
0.094400004	0.073197316
0.094499998	0.07357709
0.0946	0.07383101
0.094700001	0.073833047
0.094800003	0.07352509
0.094899997	0.072890099
0.094999999	0.071888442
0.095100001	0.07066389
0.095200002	0.069640161
0.095299996	0.069229176
0.095399998	0.069515814
0.0955	0.070080317
0.095600002	0.070351103
0.095700003	0.070132852
0.095799997	0.069715426
0.095899999	0.069428606
0.096000001	0.069312052
0.096100003	0.069271455
0.096199997	0.069393816
0.096299999	0.069782498
0.0964	0.070353189
0.096500002	0.070859846
0.096600004	0.071182254
0.096699998	0.071389772
0.0968	0.071532627
0.096900001	0.071526548
0.097000003	0.071332416
0.097099997	0.071128504
0.097199999	0.071219512
0.097300001	0.071643874
0.097400002	0.072073598
0.097499996	0.072113954
0.097599998	0.071727417
0.0977	0.071153642
0.097800002	0.070656097
0.097900003	0.070280088
0.097999997	0.070079537
0.098099999	0.070377624
0.098200001	0.071516397
0.098300003	0.073222431
0.098399997	0.074532644
0.098499999	0.074511284
0.0986	0.073271864
0.098700002	0.071846412
0.098800004	0.071047447
0.098899998	0.070799605
0.099	0.070658891
0.099100001	0.070396575
0.099200003	0.070213102
0.099299997	0.070337422
0.099399999	0.07072654
0.099500001	0.071188078
0.099600002	0.071542624
0.099699996	0.071668332
0.099799998	0.071473106
0.0999	0.071035563
0.100000001	0.070642902
0.100100003	0.070601294
0.100199997	0.070966876
0.100299999	0.071445201
0.100400001	0.071635809
0.100500003	0.071413876
0.100599997	0.070936916
0.100699998	0.07034394
0.1008	0.069601547
0.100900002	0.068729649
0.101000004	0.068002188
0.101099998	0.06779145
0.101199999	0.068225319
0.101300001	0.069191836
0.101400003	0.07051191
0.101499997	0.072051413
0.101599999	0.073424402
0.1017	0.074034292
0.101800002	0.0735117
0.101899996	0.072096096
0.101999998	0.070515457
0.1021	0.069401028
0.102200001	0.068751889
0.102300003	0.068242383
0.102399997	0.067771324
0.102499999	0.067612862
0.102600001	0.068023562
0.102700002	0.068869455
0.102799997	0.069770542
0.102899998	0.070529645
0.103	0.071228407
0.103100002	0.071906676
0.103200004	0.072386213
0.103249997	0.072469764
0.103299998	0.072179725
0.103399999	0.071807566
0.103500001	0.071065455
0.103600003	0.07014343
0.103699997	0.069243396
0.103799999	0.068572752
0.1039	0.068240977
0.104000002	0.0682951
0.104099996	0.068767116
0.104199998	0.069631121
0.1043	0.07063349
0.104400001	0.071366871
0.104500003	0.071578802
0.104599997	0.071316662
0.104699999	0.070892985
0.104800001	0.070536109
0.104900002	0.070232153
0.104999997	0.069997093
0.105099998	0.069947515
0.1052	0.070136
0.105300002	0.07040244
0.105400003	0.070498211
0.105499998	0.070443644
0.105599999	0.070434291
0.105700001	0.07054191
0.105800003	0.070452507
0.105899997	0.069875086
0.105999999	0.068928545
0.1061	0.068136991
0.106200002	0.068020518
0.106299996	0.068743039
0.106399998	0.070116841
0.1065	0.071702701
0.106600001	0.072854419
0.106700003	0.073029179
0.106799997	0.072318918
0.106899999	0.07140485
0.107000001	0.070780218
0.107100002	0.070357943
0.107199997	0.069846899
0.107299998	0.069322929
0.1074	0.069151235
0.107500002	0.069381093
0.107600003	0.0695052
0.107699998	0.069031705
0.107799999	0.068124912
0.107900001	0.067349198
0.108000003	0.066969179
0.108099997	0.066864926
0.108199999	0.066966657
0.1083	0.067306102
0.108400002	0.067863644
0.108499996	0.068514937
0.108599998	0.069257448
0.1087	0.070203241
0.108800001	0.07122569
0.108900003	0.071925926
0.108999997	0.072109182
0.109099999	0.072103916
0.109200001	0.072193763
0.109300002	0.072089392
0.109399997	0.071339505
0.109499998	0.070159093
0.1096	0.069300517
0.109700002	0.069100859
0.109800003	0.069132797
0.109899998	0.068849969
0.109999999	0.068435404
0.110100001	0.068539799
0.110200003	0.069334731
0.110299997	0.070226809
0.110399999	0.070543185
0.1105	0.070191266
0.110600002	0.06938346
0.110699996	0.068319757
0.110799998	0.067371397
0.1109	0.067055389
0.111000001	0.06765774
0.111100003	0.068798459
0.111199997	0.069829041
0.111299999	0.070465934
0.111400001	0.070916722
0.111500002	0.071355653
0.111599997	0.071671208
0.111699998	0.071811154
0.1118	0.072037723
0.111900002	0.072507267
0.112000003	0.072957339
0.112099998	0.072925946
0.112199999	0.072302208
0.112300001	0.071500449
0.112400003	0.071068285
0.112499997	0.071275794
0.112599999	0.07203702
0.1127	0.072966796
0.112800002	0.073522541
0.112899996	0.073255847
0.112999998	0.072143224
0.1131	0.070684619
0.113200001	0.06947099
0.113300003	0.068839446
0.113399997	0.06879733
0.113499999	0.069263535
0.113600001	0.070168242
0.113700002	0.071302102
0.113799997	0.072234768
0.113899998	0.072541196
0.114	0.072173855
0.114100002	0.071454173
0.114200003	0.070673515
0.114299998	0.069807777
0.114399999	0.068711537
0.114500001	0.067500312
0.114600003	0.066642929
0.114699997	0.066451931
0.114799999	0.066742375
0.1149	0.067057076
0.115000002	0.067199191
0.115099996	0.067519939
0.115199998	0.06861064
0.1153	0.070605966
0.115400001	0.073117983
0.115500003	0.075358498
0.115599997	0.076489056
0.115699999	0.076079295
0.115800001	0.074376227
0.115900002	0.072200109
0.115999997	0.070502548
0.116099998	0.069693712
0.1162	0.069537886
0.116300002	0.069630464
0.116400003	0.069845974
0.116499998	0.070153586
0.116599999	0.070356201
0.116700001	0.070263015
0.116800003	0.070065984
0.116899997	0.070167044
0.116999999	0.070544772
0.1171	0.07065353
0.117200002	0.07014118
0.117299996	0.069467715
0.117399998	0.069321142
0.1175	0.06982471
0.117600001	0.0705293
0.117700003	0.070924678
0.117799997	0.070821695
0.117899999	0.070362406
0.118000001	0.069917324
0.118100002	0.069840867
0.118199997	0.070210584
0.118299998	0.070608742
